#Name,Location,ASN
GÉANT,Europe,20965
ACOnet,Austria,1853
AMRES,Serbia,13092
ARNES,Slovenia,2107
BELnet,Belgium,2611
BREN,Bulgaria,6802
CARNet,Croatia,2108
CESNET,Czech,2852
CYNET,Cyprus,3268
DFN,Germany,680
EENet,Estonia,3221
FCCN,Portugal,1930
GARR,Italy,137
GRNET,Greece,5408
HEAnet,Ireland,1213
IUCC,Israel,378
JANET,United,786
LITNET,Lithuania,2847
MARNet,Macedonia,5379
MREN,Montenegro,13092
NIIF,Hungary,1955
PSNC,Poland,9112
RENATER,France,2200
RESTENA,Luxembourg,2602
RedIris,Spain,766
RoEduNet,Romania,2614
SANET,Slovakia,2607
SURFnet,Netherlands,1103
SWITCH,Switzerland,559
SigmaNet,Latvia,5538
ULAKBIM,Turkey,1967
Uni. of Malta,Malta,12046
BASNET,Belarus,21274
JSCC,Russia,3058
RENAM,Moldova,9199
URAN,Ukraine,12687
FUNET,Finland,8624
NORDUnet,Nordic,2603
RHnet,Iceland,15474
SUNET,Sweden,2603
Uni-C,Denmark,1835
Uninett,Norway,224
